published_date,platform,format,title_or_opening,url,topic,status
2026-07-21,LinkedIn,text post,A month ago I started offering a limited-time mock interview series as a way to give back,https://www.linkedin.com/feed/update/urn:li:activity:7485430927179939841/,coaching and impact,verified_public
2026-07-20,LinkedIn,text post,The data tooling landscape has become...a lot.,https://www.linkedin.com/feed/update/urn:li:activity:7485050355467108353/,data tooling,verified_public
2026-07-08,LinkedIn,event note,I am sharing my learnings about AI analytics this Friday at Noon PT.,https://www.linkedin.com/feed/update/urn:li:activity:7480748270407901184/,teaching,verified_public
2026-07-06,LinkedIn,article release,Most companies are not behind because they lack AI tools.,https://www.linkedin.com/feed/update/urn:li:activity:7479976216737787904/,operating model,verified_public
2026-06-30,LinkedIn,event note,"In March 2023, right after GPT-4 launched, I posted that AI would replace most basic SQL requests to analysts.",https://www.linkedin.com/feed/update/urn:li:activity:7477834274239426560/,AI analytics,verified_public
2026-06-22,LinkedIn,text post,Opening up 10 mock interview slots over the next 7 days for folks preparing for data roles after recent layoff rounds.,https://www.linkedin.com/feed/update/urn:li:activity:7474889017298210816/,coaching and impact,verified_public
2026-06-18,LinkedIn,article release,10 Mistakes Strong Candidates Make in Product Analytics Case Interviews,https://www.linkedin.com/feed/update/urn:li:activity:7473484802524901377/,data careers,verified_public
2026-06-18,LinkedIn,text post,Opening more mock interview slots. This is mainly for people preparing for data roles after the recent layoff rounds.,https://www.linkedin.com/feed/update/urn:li:activity:7473462832655929344/,coaching and impact,verified_public
2026-06-11,LinkedIn,text post,Opening up 10 mock interview slots over the next 7 days for folks preparing for data roles after recent layoff rounds.,https://www.linkedin.com/feed/update/urn:li:activity:7470925658840309761/,coaching and impact,verified_public
2026-06-04,LinkedIn,text post,I'm opening up the next batch of 10 mock interview slots over the next 7 days.,https://www.linkedin.com/feed/update/urn:li:activity:7468352104684761088/,coaching and impact,verified_public
2026-05-28,LinkedIn,text post,I'm opening up 10 mock interview slots over the next 7 days for folks preparing after the latest layoff rounds.,https://www.linkedin.com/feed/update/urn:li:activity:7465818613980057601/,coaching and impact,verified_public
2026-05-21,LinkedIn,text post,AI-native data team has 4 levels.,https://www.linkedin.com/feed/update/urn:li:activity:7463082540610859008/,operating model,verified_public
2026-05-04,LinkedIn,field note,One thing I've learned from using Codex heavily is how much learning gets unlocked when the feedback loop gets faster.,https://www.linkedin.com/feed/update/urn:li:activity:7457192426185867264/,agent field note,verified_public
2026-04-16,LinkedIn,text post,A lot of weekly business reviews are broken in a very predictable way.,https://www.linkedin.com/feed/update/urn:li:activity:7450573787584020481/,executive cadence,verified_public
2026-04-13,LinkedIn,text post,AI is changing the centralized vs decentralized data team debate.,https://www.linkedin.com/feed/update/urn:li:activity:7449486588235001856/,org design,verified_public
2026-04-10,LinkedIn,text post,Many companies say they want enterprise AI.,https://www.linkedin.com/feed/update/urn:li:activity:7448180024740052992/,enterprise AI,verified_public
2026-04-02,LinkedIn,article release,Semantic Models Are Not Dead,https://www.linkedin.com/feed/update/urn:li:activity:7445597716115714048/,semantic layer,verified_public
2026-02-23,LinkedIn,text post,Most data teams are still building dashboards nobody looks at.,https://www.linkedin.com/feed/update/urn:li:activity:7431528807922171904/,data leadership,verified_public
